Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,550,An aircraft is on an IFR approach to an aerodrome in VMC. This approach can be defined as:,a VFR approach,a VFR approach with visual reference to the ground,an IFR approach in IMC,an IFR approach,4,SUP
,551,The abbreviation SSR stands for: ,Some strange radio.,Secondary surveillance radar.,Single system receiver.,Sector safety range.,2,SUP
,552,Which abbreviation is used for Co-ordinated universal time? ,UTC,COUT,GMT,CUT,1,SUP
,553,A standard instrument arrival is known as a: ,STAR.,SDP.,SIA.,SA.,1,SUP
,554,PAPI stands for:,Pitch attitude prime instrument.,Precision approach indicators.,Propeller and power indicator.,Precision approach path indicators.,4,SUP
,555,In Viet Nam the following types of radio aids to air navigation are available:,"NDB, VOR, DME, ILS, LORAN.","NDB, VOR, DME, ILS, OMEGA.","NDB, VOR, DME, ILS.","NDB, VOR, DME, ILS, OMEGA, LORAN.",3,SUP
,556,Which facility among the following provides a/c with its azimuth and distance:,NDB,VOR/DME,ILS,DVOR,2,SUP
,557,Air traffic services unit clocks and other time-recording devices shall be checked as necessary to ensure correct time to within plus or minus ____ of UTC at all times:,10 seconds.,20 seconds.,30 seconds.,1 minute,3,SUP
,558,The frequencies used for survival radio equipment are:,121.5 MHz and 243 MHz.,121.5 MHz and 423 MHz,120.5 MHz and 243 MHz,120.5 MHz and 423 MHz,1,SUP
,559,ATC unit may use the following means of communications for co-ordination purposes:,AFTN,Direct speech circuits,Data - exchange circuits,All of the above,4,SUP
,560,Emergency locator transmetter (ELT) is fitted _____ :,On board of the aircraft,At the rescue co-ordination centre,At the search and rescue Centre,At the rescue sub Centre,1,SUP
,561,The ICAO definition of ETA is the:,actual time of arrival at a point or fix.,estimated time of arrival at an en-route point or fix.,estimated time of arrival at destination.,estimated time en route.,3,SUP
,562,What is the value of magnetic dip at the South Magnetic Pole? ,0°,360°,180°,090°,4,SUP
,563,A waypoint is: ,A geographical location relating to area navigation (RNAV).,A visual sign pointing the way.,A geographical point at which a change of level takes place.,A designated reporting point.,1,SUP
,564,The limits of the VHF band are: ,30 - 300 MHz.,3 - 30 MHz.,300 - 3000 MHz.,300 - 3000 KHz.,1,SUP
,565,Positions on a Flight Management Computer are updated with information from:,DME / DME.,DME / VOR.,DME / DME or DME / VOR.,VOR / ADF.,3,SUP
,566,The radio navigation information used by the FMC is: ,"ADF, VOR, DME.","VOR, DME.","DME, VOR, ILS.","VOR, ADF, DME, ILS.",3,SUP
,567,Basic RNAV requires a track-keeping accuracy of:,+/- 3NM or better for 90% of the flight time.,+/- 2NM or better for 75% of the flight time.,+/- 5NM or better throughout the flight.,+/- 5NM or better for 95% of the flight time.,4,SUP
,568,Using a primary radar:,All 3 answers are correct.,target size will influence the maximum range.,detection of targets in the area close to the radar will be difficult.,precipitation may reduce the useful range.,1,SUP
,569,A Primary radar operates on the principle of: ,transponder interrogation.,phase comparison.,pulse technique.,continuous wave transmission.,3,SUP
,570,The Squawk code for emergency is: ,       7500,      7700,       7600,      7000,2,SUP
,571,"When an aircraft is subjected to unlawful interference , the pilot incomand shall indicate the situation by setting the transponder to",       7500,      7700,       7600,      7000,1,SUP
,572,RNP 4 represents a navigation accuracy of ,1NM on a 95% conatinment basis,4NM either side of track,4NM on a 95% containment basis,4KM on a 95% containment basis,3,SUP
,573,Which is transmitting technique:,"Use a normal conversational tone,and speak clearly and distinctly",Maintain the speaking volume at a constant level,A slight pause before and after numbers will assist in making them,easier to understand,4,SUP
,574,The transmission of long messages should be :,Transmited constantly,Transmited as soon as possible,Interrupted momentarily trom time  to time,All above  are correct,3,SUP
,575,"Refer to AGIMY,which is correct:",Alpha-Golf-Yankee -Mike- India,Alpha-Gold-India-Mike-Yankee.,Alpha-Golf-India-Mike-Yankee.,Alpha-Golf-India- Mile-Yankee.,3,SUP
,576,Which is correct:,Climb to two five hundred feet.,Climb to two thousand  five hundred feet.,Climb two five hundred feet.,Climb to twenty five hundred  feet.,2,SUP
,577,What does ‘GO AHEAD’ mean:,Go straight ahead,Proceed with your message.,"Continue,do not stop",say again,2,SUP
,578,What does ‘HOW DO YOU READ’ mean:,How do you copy my message?,Do you understand?,What is readability of my transmission?,Do you receive my message?,3,SUP
,579,"In transmitting technique, rate of speech shall be not exceeded….words per minute:",90,100,110,120,2,SUP
,580,"In the initial contact,which  message may be used  by pilot:","Noibai TWR,Thai 564, Heavy","Noibai TWR,Thai 564, Medium","Noibai TWR,Thai 564, Light","Noibai TWR.Thai 564, VIP",1,SUP
,581,"Except in cases of emergency, controllers should not transmit to an aircraft:",When he is taxiing,When he is joining  final course.,When he is taking-off,When he vacating runway.,3,SUP
,582,In What condition of weather ? the controller may request the pilot to report when airborne:,Raining .,Thunderstorm.,Gusting  wind.,Poor  visibility.,4,SUP
,583,"When an aircraft has commenced the take-off roll, and it is necessary for the aircraft to abandon take-off in order to avert a dangerous traffic situation,which instruction shall be given (by ATC): ","(Callsign),Cancel take-off.","(Callsign),hold position","(Callsign),stand  by","(Callsign),stop immediately.",4,SUP
,584,A “FINAL” report  is  made when an aircraft turns onto final within … from touchdown:,3NM,4NM,5NM,6NM,2,SUP
,585,A “LONG FINAL” report is made when an aircraft turns onto final  at the distance that greater than ……from touchdown:,6NM,5NM,4NM,3NM,2,SUP
,586,"When an aircraft is going around,any transmission to him should be:",As detailed as possible,Stopped at once,Brieft and kept to a minimum,Sent when pilot is ready to copy.,3,SUP
,587,A transmission from one station to another station in circumstances where two-way communication cannot be established but where it is believed that the called station is able to receive the transmission:,Blind transmission,One-way transmission,Two-way transmission,Radio check,1,SUP
,588,A transmission of information relating to air navigation that is not addressed to a specific station or stations:,Transmit,Convey,Send,Broadcast,4,SUP
,589,Clearance limit:,The point to which an aircraft is granted an air traffic control clearance.,The fix to which an aircraft is granted an air traffic control clearance.,The level to which an aircraft is granted an air traffic control clearance.,all above.,1,SUP
,590,"When the language used for communication is English, number 4 shall be transmitted using the following pronunciation:",FOW-er,four,fao-er,faw-er,1,SUP
,591,Pilots may check the time with the appropriate ATS unit. Time checks shall be given to.....,the nearest half minute,the closer half minute,the nearest 30 seconds,the half minute.,1,SUP
,592,The word CONFIRM  shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,"“I request verification of: (clearance, instruction, action, information).”",verify,request,none above,1,SUP
,593,The word RECLEARED  shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,“this new clearance supersedes your previous clearance or part thereof.”,“A change has been made to your last clearance and this new clearance supersedes your previous clearance or part thereof.”,“A change has been made to your last clearance and this revised clearance supersedes your previous clearance or part thereof.”,“Authorized to proceed under the conditions specified.”,2,SUP
,594,The word READ BACK shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,"“Repeat all, or the specified part, of this message back to me exactly as received.”",“Repeat the specified part of this message back to me exactly as received.”,“Repeat this message back to me exactly as received.”,"“Repeat all, or the specified part, of this message back to your partner exactly as received.”",1,SUP
,595,The word STANDBY shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,“Wait and I will call you.”,“Wait for a while.”,i will call you later,“Wait and call me later.”,1,SUP
,596,"When establishing communications, an aircraft should:",use the full call sign of both the aircraft and the aeronautical station.,use the call sign of both the aircraft and the aeronautical station.,use the full call sign of both the aircraft and owner company,use the full call sign of the aircraft and spell it to aeronautical station,1,SUP
,597,"When it is considered that reception is likely to be difficult, important elements of the message should be spoken ......",twice,again,slowly,in local language,1,SUP
,598,Test transmissions should take the following form:,the identification of the aeronautical station being called;,the aircraft identification;,the words “RADIO CHECK”; and the frequency being used.,all above,4,SUP
,599,Approach control will normally advise the type of approach to be expected.,"on initial contact,",as soon as possible,when passing transistion level,not nescesary,1,SUP
,600,What shall the pilots read back be for CLIMB TO 2.500 FEET?  ,Climbing to two point five ,Up to two thousand five hundred ,Climbing to two thousand five hundred feet ,Climbing to two thousand five hundred ,3,SUP
,601,Which elements of a position report cannot be omitted?  ,"Aircraft identification, position, time, level ","Aircraft identification, position, time ","Aircraft identification, position, level ","Aircraft identification, position, next position ",2,SUP
,602,ATC clears Fastair 345 to descent from FL 100 to FL 80. What is the correct read back by the pilot?,"Descending to 80, Fastair 345 ","Leaving flight level 100 descending to flight level 80, Fastair 345 ","Down to flight level 80, Fastair 345 ","Leaving 100 to 80, Fastair 345 ",2,SUP
,603,"Which word shall be used to ask a station whether you have correctly received a message, clearance,instruction, etc?",A. Confirm ,Correct ,Acknowledge ,Verify ,4,SUP
,604,Distress conditions are defined as:,a condition of being threatened by serious and/or imminent danger and of requiring immediate assistance.,"a condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight, but which does not require immediate assistance","a condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight and of requiring immediate assistance.",a condition of being threatened by serious and/or imminent danger .,1,SUP
,605,Urgency conditions are defined as:,a condition of being threatened by serious and/or imminent danger and of requiring immediate assistance.,"a condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight, but which does not require immediate assistance","a condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight and of requiring immediate assistance.",a condition of being threatened by serious and/or imminent danger .,2,SUP
,606,The word “MAYDAY” spoken at the start identifies....... message:,abnomal,a distress,an urgency,none above,2,SUP
,607,The words “PAN PAN” at the start identifies an ..... message.,abnomal,a distress,an urgency,none above,3,SUP
,608,"The words “MAYDAY” or “PAN PAN”, as appropriate, should preferably be ........... at the start of the initial distress or urgency call.",spoken 4 times,spoken 2 times,spoken 3 times,spoken only ones,3,SUP
,609,"When an aircraft is no longer in distress, it shall transmit a message cancelling the distress condition. Which words shall this message include?","MAYDAY, resuming normal operations ",cancel distress ,MAYDAY cancelled ,distress condition terminated ,2,SUP
,610,The distress communication and silence conditions shall be terminated by transmitting a message. Which words shall this message include?,"Disregard distress communication, OUT ",Emergency communication finished ,MAYDAY traffic ended ,Distress traffic ended ,4,SUP
,611,The MSA provides obstacle clearance in a circle with a radius of :,15NM.,20NM.,25NM,30NM,3,SUP
,612,"The direction in which the longitudinal axis of an aircraft is pointed, usually expressed in degrees from North (true, magnetic, compass or grid).That is definition of:",Track.,Bearing.,Heading,Desired Track.,3,SUP
,613,The correct phraseology to request termination of pressure altitude transmission when radar controller observed an aircraft wrong mode C indication is:,Stop squawking mode C wrong indication,Stop squawk charlie wrong indication,Stop squawking charlie wrong indication,Stop squawk altitude wrong level,1,SUP
,614,Use of surface movement radar (SMR): ,Monitor the movement of aircraft and vehicales on the manoeuving area; provide directional information to pilots and vehical drivers as necessary;,Provide advise and assistance for the safe and efficient movement of aircraft and vehicales on the manoueving area.,Both 1 and 2.,1 or 2,3,SUP
,615,One of the functions of radar control in the approach area is:,To provide surveillance radar approaches.,To reduce separation to less than 5 NM,To reduce vertical separation to 500 feet,To reduce separation minima if PIC’s agree.,1,SUP
,616,Aircraft taking off can be positively identified only if they are seen:,Within 5 miles of the upwind end of the runway.,Within 3 miles of the upwind end of the runway.,Within 1 miles of the upwind end of the runway.,Actually leaving the runway,3,SUP
,617,"In an SSR system, the interrogator transmission are made on a frequency of:",1090 MHz.,1030MHz.,1003 MHz.,1009 MHz.,2,SUP
,618,The surveillance radar normally used by ATC does not display altitude information unless the aircraft is equipped with an altitude encoding transponder. This is referred to as:,DME,Mode B,Mode C,Altitude,3,SUP
,619,Frequency used in SSR - Transponder receiver:,1040 MHz                                                  ,1050 MHz,1030 MHz                            ,1090 MHz,4,SUP
,620,An aircraft making a radar approach should be advised to consider executing a missed approach if the aircraft is not visible on the radar display for significant interval during the last ...... of the approach.,5 NM,4 NM,3 NM,2NM,4,SUP
,621,Radar separation based upon primary radar (PSR) shall be the distance:,Between the edges of the radar blips.,Between the center of the radar blips,Between the edges of one blip and the center of the other.,Between the nearest edges of the blips.,2,SUP
,622,Radar separation based on the used of SSR responses:,The distance between the centers of radar blips,The distance between the closest edges of the radar blips,The distance between the closest edges of the position elements of the SSR responses must never be less than a prescribed minimum,All above,3,SUP
,623,Who is responsible for check alignment of the Radar video display to ensure the video map or overlay is properly aligned with a permanent target of known and azimuth on the radar display?,The technician.,The watch supervisor.,The “D” controller.,The assistant controller.,1,SUP
,624,How many methods do you use for identification by SSR?,4,5,6,7,3,SUP
,625,How many methods using for identification by PSR?,3,4,5,6,2,SUP
,626,The number assigned to a particular multiple pulse signals transmitted by a transponder is:,Mode.,Code.,Interrogation.,Response.,2,SUP
,627,An aircraft will be considered to be maintaining FL 190 when SSR mode C level information indicates:,195,197,193,196,3,SUP
,628,The tolerance value which should be used to determine that mode C derived level information displayed to the controller is accurate shall be:,± 200 Ft,±300 Ft,± 500 Ft,±1000 Ft,2,SUP
,629,Radar-separation between two wake turbulence category “HEAVY” aircraft on final shall be at least:,3 NM,4 NM,5 NM,6 NM,2,SUP
,630,The use of radar for the purpose of providing aircraft with information and advice relative significant deviation from nominal flight path is:,Radar monitoring.,Radar vectoring.,Radar identification.,Radar separation.,1,SUP
,631,"VASIS is one of the landing aids that we have in our airport. When an aircraft flies on the correct slope, what color does the pilot see when descending ?",Intermittent RED and WHITE,Intermittent BLUE and WHITE,RED color only,WHITE color only,1,SUP
,632,Primary Surveillance Radar mean: ,A surveillance radar system which provides primary information of air traffic to Atc unit,A surveillance radar system which uses reflected radio signals,A surveillance radar system which uses primary in for action from aircraft and displays them on radar screen,A surveillance radar system which Atc uses first to determine aircraft position in distance and azimuth,2,SUP
,633,GNSS is:,Global navigation satellite system,Ground navigation satellite system,Global navigation system satellite,None of above,1,SUP
,634,SMR is:,Surface movement radar,Surface maneuver radar,Surface maneuvering radar,None of above,1,SUP
,635,GPWS is: ,Ground proximity warning system,Global proximity warning system,Ground  proximate warning system,None of above,1,SUP
,636,GLONASS is:,Global orbiting navigation satellite system,Ground orbiting navigation satellite system,Ground observed navigation satellite system,None of above,1,SUP
,637,GBAS is: ,Ground based augmentation system,Global based augmentation system,Global based augmentative system,None of above,1,SUP
,638,What shall the controller do when a pilot reports an ACAS resolution advisory (RA)?,Not attempt to modify the aircraft flight path until the pilot reports “clear of traffic”,Do his best to keep separation between aircraft concerned until the pilot reports “clear of traffic”.,Acknowledge a report to other flight crew that there is an aircraft affected by RA.,Acknowledge a report from the flight crew that waiting until the aircraft resuming the current clearance.,1,SUP
,639,What should a radar controller do if the code displayed on the radar screen   difference from the code he has just asked the pilot to squawk? ,Request the pilot to stop squawk.,Request the pilot to recycle the assigned mode and code.,The pilot shall be requested to confirm the code and reselect the correct code .,Request the pilot to switch the transponder from ON to STANDBY.,3,SUP
,640,An aircraft will consider to have reached the level to which it has been cleared when:,Level information derived by mode C indicated that it is within 90m ( 300 ft) of it’s assigned level.,After three consecutive renewals of mode C derived level information.,As long as mode C derived level information indicated that it is within plus or minus 90m (300ft).,Three consecutive renewals of mode C derived level information have indicated that it is within 90m(300ft) of it’s assigned levels.,1,SUP
,641,Radar separation may be applied between an aircraft taking off and other radar controlled traffic provided there is reasonable assurance that:,The taking -off  aircraft will be identified within 1 NM from the end of the runway and at the time the required radar separation will exist,The taking –off aircraft is at or above the minimum flight altitude of minimum safety altitude.,Both taking –off aircraft and other radar controlled flight are being identified .,1 and 2,1,SUP
,642,"In the case that the radar fails, but communication is still good, the radar controller should:",Instruct aircraft to maintain level and VMC,Inform aircraft that radar fails and maintain own separation,Instructed aircraft to change to APP frequency,Mark position of identified aircraft and take measure to provide non-radar separation.,4,SUP
,643,An arriving aircraft is descending for approach. The pilot of the aircraft is to change altimeter setting from Standard air pressure (760 mm Pb) to QNH (or QFE) ___  ,At above transition level.,Below transition level but above transition altitude,At transition altitude.,Below transition altitude.,2,SUP
,644,What is Standard Instrument Arrival (STAR)?,"A designated instrument flight rule (IFR) arrival route linking a significant point, normally on an ATS route, with a point from which a published instrument approach procedure can be commenced.","A designated visual flight rule (IFR) arrival route linking a significant point, normally on an ATS route, with a point from which a published instrument approach procedure can be commenced.","A designated instrument flight rule (IFR) arrival route linking a significant point, normally on an ATS route, with a point from which a published visual approach procedure can be commenced.",All the above.,1,SUP
,645,The aircraft should be advised to consider executing a missed approach if the aircraft is not visible on the situation display for any significant interval during the last...of the approach.,1 NM,2 NM,3 NM,4 NM,2,SUP
,646,"If the landing clearance is not received, a subsequent notification should be made at approximately…and landing clearance requested.",4 NM from threshold,4 NM from touchdown,1 or 2 is correct,1 and 2 are correct,2,SUP
,647,Which does ATC Term “Radar contact” signify?,Your aircraft has been identified and you will receive separation from all aircraft while in contact with this radar facility.,You will be given traffic advisories until advised that the service has been terminated or that radar contact has been lost.,ATC is receiving your transponder and will furnish vectors and traffic advisories until you are advised that contact has been lost.,Your aircraft has been identified on the radar display and radar flight instructions will provided until radar identification is terminated.,4,SUP
,648,What does an air traffic controller have to do before providing an ATS surveillance service to an air craft? ,Identify air craft,Radio contact with air craft,Issue ATC clearance for air craft,Change air craft flight level,1,SUP
,649,What does mode C show? ,Identification,Weather information,Restriction,Level information,4,SUP
,650,What does mode S show? ,Identification feature,Weather information,Restriction,Level information,1,SUP
,651,How shall a pilot inform a radar control unit that the aircraft is not quipped with transponder?,Negative squawk.,Negative transponder.,Transponder not available.,No SSR.,2,SUP
,652,Track separation between aircraft using the same VOR is at least…and at a distance of…more from the facility.,"10 degrees; 18,5km(10NM)","15 degrees; 18,5km(10NM)",10 degrees; 28km(10NM),15 degrees; 28km(15NM),4,SUP
,653,Track separation between aircraft using the same NDB is at least…and at a distance of…more from the facility. ,"10 degrees; 18,5km(10NM)","30 degrees; 18,5km(10NM)",30 degrees; 28km(10NM),30 degrees; 28km(15NM),4,SUP
,654,Track separation between aircraft using dead reckoning is at least…and at a distance of…more from the facility. ,"30 degrees; 18,5km(10NM)","45 degrees; 18,5km(10NM)",30 degrees; 28km(10NM),45 degrees; 28km(15NM),4,SUP
,655,What type of separation must be maintained at all times between aircraft holding in the holding pattern?,vertical,lateral,longitudinal,a combination of lateral and vertical,1,SUP
,656,Priority for landing shall be given to:  ,"an aircraft which anticipates being compelled to land because of factors affecting the safe operation of the aircraft (engine failure, shortage of fuel, etc.);",hospital aircraft or aircraft carrying any sick or seriously injured persons requiring urgent medical attention;,aircraft engaged in search and rescue operations; and other aircraft as may be determined by the appropriate authority.,All of above,4,SUP
,657,Speed control shall not be applicable to aircraft: ,Entering or established in holding pattern.,Encountering the turbulent weather; conducting priority/ emergency landing.,Carrying VIP.,All the above,4,SUP
,658,AIP Amendment contain:,Permanent changes to the information contained in the AIP.,Temporary changes to the information contained in the AIP.,1 or 2,1 and 2,1,SUP
,659,AIP Supplement contain:,Permanent changes to the information contained in the AIP which are published by means of special pages.,Temporary changes to the information contained in the AIP which are published by means of special pages.,1 or 2,1 and 2,2,SUP
,660,Danger area. ,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at all times.,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at specified times.,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at day-light times.,An airspace of defined dimensions within which activities dangerous to the flight of aircraft may exist at night times.,2,SUP
,661,Geodesic distance.  ,The slant distance between any two points on a mathematically defined ellipsoidal surface.,The  distance between any two points on a mathematically defined ellipsoidal surface.,The shortest distance between any two points on a mathematically defined ellipsoidal surface.,The vertical distance between any two points on a mathematically defined ellipsoidal surface.,3,SUP
,662,Geodetic datum. ,A set of parameters required to define location and orientation of the local reference system with respect to the global reference system/frame.,A maximum set of parameters required to define location and orientation of the local reference system with respect to the global reference system/frame.,A minimum set of parameters required to define location and orientation of the local reference system with respect to the global reference system/frame.,Non of the above.,3,SUP
,663,Vertical limitation of the prohbited area over HoChiMinh city (VVP4) is:,From ground up to 3000m,From ground up to 2700m,From ground up to 1500m,From ground up to unlimited,1,SUP
,664,Airspace in TSN TMA is classified as :,Class A,Class B,Class C,Class D,3,SUP
,665,Airspace in TSN CTR is classified as :,Class A,Class B,Class C,Class D,3,SUP
,666,Vertical limitation of the Bien Hoa Restricted Area (VVR19) is:,From ground up to 7000m,From ground up to 4000m,From ground up to 3000m,From ground up to unlimited,1,SUP
,667,MSA in TSN TMA is within a sector of a circle of ……….. radius centered on a radio aid to navigation. ,15NM,25NM,35NM,40NM,2,SUP
,668,Mây Tào Gun Firing Exercise is:,VVD30,VVD31,VVD32,VVD33,3,SUP
,669,Vertical limitation of Tan An airforce training area (VVD36) is:,   From 400m up to 3000m,From 400m up to specified altitude (be provided by ATC unit),From ground up to 3000m,From ground up to unlimited,2,SUP
,670,Air traffic services include:,"Flight administration service, ATC service, air traffic consultancy service and alarming service","Flight administration service, flight information service, air traffic consultancy service and alarming service.","ATC services, flight information service, air traffic consultancy service and alarming service.","Flight administration service, flight information service, air traffic advisory service and alarming service.",1,SUP
,671,Aircraft may not make exercise or training flights:,"Over densely populated areas, unless permitted by authorized authorities.","Over densely populated areas, until permitted by competent state agencies.","Over mountainous areas, unless permitted by competent state agencies","Over densely populated areas, unless permitted by competent state agencies.",4,SUP
,672,"Flight permission granted to flights arriving and departing at the airports of Viet Nam shall become effective at 12 (twelve) hour prior to and until … hours after the ETA, ETD indicated in the permission.",6,12,18,24,4,SUP
,673,Over-flight permission shall become effective 03(three) hours prior to and until … hours after estimated over-flight time indicated in the flight permission.,12,24,48,72,4,SUP
,674,"When VIP arrives, airport operation will be restricted: ","05 minutes before landing time of VIP flight, the reserved RWY for VIP flight should be clear","05 minutes before landing time of VIP flight, all RWYs should be clear","05 minutes after VIP flight lands, that RWY can resume normal operation",None of the above,1,SUP
,675,"When VIP departs, airport operation will be restricted: ","05 minutes before VIP flight lines up, the reserved RWY for VIP flight should be clear","05 minutes before departure time of VIP flight, all RWYs should be clear.","05 minutes after VIP flight takes off, that RWY can resume normal operation",None of the above,1,SUP
,676,MSAW function of ATM system is :,Warning aircrafts that infringes terrain,Warning aircrafts that infringes prohibited area,Warning aircrafts that have risk of collision with each other,None of above,1,SUP
,677,AIP Amendment contain:,Permanent changes to the information contained in the AIP.,Temporary changes to the information contained in the AIP.,1 or 2,1 and 2,1,SUP
,678,AIP Supplement contain: ,Permanent changes to the information contained in the AIP which are published by means of special pages.,Temporary changes to the information contained in the AIP which are published by means of special pages.,1 or 2,1 and 2,2,SUP
,679,Area navigation (RNAV) is:,A method of navigation.,A SID.,An approach procedure.,Non of the above.,1,SUP
,680,ATS surveillance service. ,Term used to indicate a service from a tower.,Term used to indicate a service from approach control unit.,Term used to indicate a service from area control center.,Term used to indicate a service provided directly by means of an ATS surveillance system.,4,SUP
,681,Automatic terminal information service (ATIS). ,"The automatic provision of current, routine information to arriving aircraft throughout 24 hours or a specified portion thereof.","The automatic provision of current, routine information to departing aircraft throughout 24 hours or a specified portion thereof.","The automatic provision of current, routine information to en-route aircraft throughout 24 hours or a specified portion thereof.","The automatic provision of current, routine information to arriving and   departing aircraft throughout 24 hours or a specified portion thereof.",4,SUP
,682,A NIL notification shall be originated and distributed by the monthly plain-language list of valid NOTAM when:,An AIP Supplement will not be published.,An AIP Supplement will be published.,AIP Amendment will not be published at the established interval or publication date.,AIP Amendment will be published at the established interval or publication date.,3,SUP
,683,A Rescue Unit is: ,A unit responsible for SAR service in co-operation with a RCC,A unit composed of trained personnel and provided with equipment suitable for the expeditious conduct of SAR,A unit assisting a RCC in SAR duties,A unit responsible forpromoting efficient organisation of SAR service and for co-ordinating the conduct of SAR within the SAR area,2,SUP
,684,Alternate aerodrome means: ,An alternate aerodrome to which an aircraft may proceed should it become either impossible or inadvisable to land at the aerodrome of intended landing.,An alternate aerodrome at which an aircraft can land should this become necessary shortly after take-off and it is not possible to use the aerodrome of departure.,An aerodrome to which an aircraft may proceed when it becomes either impossile or inadvisable to proceed to or to land at the aerodrome of intended landing.,An aerodrome at which an aircraft would be able to land after experiencing an abnormal or emergency condition while en route.,3,SUP
,685,At least which services have to be provided by ATS within a flight information region? ,Flight information service and alerting service,Flight information service,Flight information service and air traffic advisory service,Flight information service and air traffic control service,1,SUP
,686,What is STCA?,Minimum Safe Altitude Warning,Safety Target Calculation Algorithm,Short-Term Conflict Alert,Surface Movement Guidance Alert,3,SUP
,687,How does STCA work? ,It calculates fuel burn for arriving aircraft,It predicts short-term aircraft trajectories and compares predicted separation with configured alert thresholds,It issues automatic landing clearance,It replaces the controller by applying separation automatically,2,SUP
,688,"What is the maximum time horizon
 for STCA alerts?",About 30 seconds,About 5 minutes,"Typically up to about 2 minutes, depending on system configuration",About 10 minutes,3,SUP
,689,What is the typical response time for air traffic controllers toan STCA alert ?,Within 5 minutes,"Immediate and timely controller action, normally within seconds of recognizing the alert",Only after pilot confirmation,Within 30 minutes,2,SUP
,690,"What is the typical range of STCA in a radar surveillance 
system? ",Exactly 50 NM,Only within 5 NM of an aerodrome,No fixed universal range; it covers the configured surveillance and airspace area,Exactly 20 NM,3,SUP
,691,"What color is typically used to denote an STCA alert on the
 air traffic controller's display? ",Red or flashing red,Amber only,Green,Blue,1,SUP
,692,"What is the minimum separation distance required for an 
STCA alertto be generated? ","2,000 ft",5 NM,When predicted horizontal or vertical separation will infringe configured parameters,5 minutes,3,SUP
,693,"What is the difference between STCA and Minimum Safe 
Altitude Warning (MSAW)? ",STCA warns of terrain while MSAW predicts aircraft conflict,Both systems provide identical warnings,STCA predicts aircraft-to-aircraft conflict; MSAW warns of terrain or minimum-altitude infringement,STCA is a weather alert and MSAW is a runway alert,3,SUP
,694,"What is the minimum separation distance required between
two aircraft to avoid a potential conflict according to STCA? ","1,000 ft",Apply the operational separation minimum configured for the airspace,5 NM,30 seconds,2,SUP
,695,"What is the primary purpose of the STCA system in air
 traffic control? ",Automatically issue all avoiding clearances,Calculate runway braking action,Provide early warning of a potential loss of separation or collision risk,Provide long-term traffic forecasts for the next day,3,SUP
,696,"According to Radar Vectoring Altitude Chart in Tan Son Nhat TMA, the minimum altitude shall be ........ in the area between 150° radial and 310° radial ; and in the range of  110 km from TSN VOR.",450 m,600 m,950 m,1500m,2,SUP
,697,The Glide slope of GP RWY 25R is:,2°,2.5°,3°,5°,3,SUP
,698,VCCS stands for:,Voice Communication Control System,Voice Control Communication System,Virtual Control Communication System,Virtual Communication Control System,1,SUP
,699,"After departure , an IFR aircraft loses two- way communications. What should the pilot ‘s course of action be:","Continue to fly to the destination airport, whatever the weather conditions are.","Return to the departure airport immediately, whatever the weather conditions are.",Return to the departure airport immediately if the weather is VMC or continue the flight to destination airport if the weather is IMC,Land at the most suitable nearest aerodrome while en route.,3,SUP
,700,Fuel dumping area in TSN APP TMA is:,"Named Rang Rang, minimum altitude in area is 600m, and required approval from Biên Hòa commander","Named Rang Rang, minimum altitude in area is 1500m, and required approval from Biên Hòa commander","Named Rang Rang, minimum altitude entering in the area is 600m, and required approval from ATC","Named Rang Rang, minimum altitude entering in the area is 1500m, and required approval from Biên Hòa commander",2,SUP
,701,CHIPO holding area has inbound track and minimum holding altitude:,218°; FL100,208°; FL140,128°; FL 145,028°; FL 050,2,SUP
,702,Fuel dumping area in TSN APP TMA is:,"Named Rang Rang, minimum altitude in area is 600m, and required approval from Biên Hòa commander","Named Rang Rang, minimum altitude in area is 1500m, and required approval from Biên Hòa commander","Named Rang Rang, minimum altitude entering in the area is 600m, and required approval from ATC","Named Rang Rang, minimum altitude entering in the area is 1500m, and required approval from Biên Hòa commander",2,SUP
,703,LATHA holding area has inbound track and minimum holding altitude:,001°; FL 100,010°; FL 050,181°; FL 145,020°; FL 140,1,SUP
,704,N500’s track (segment from TSN DVOR/DME to BAOMY):,077,86,128,135,2,SUP
,705,R468’s track (segment from TSN DVOR/DME to SAPEN):,232,250,240,295,4,SUP
,706,R468’s minimum flight altitude is:,900 m,"1,500 m",600 m,"1,200 m",1,SUP
,707,W1’s track (segment from TSN DVOR/DME to AC),78,85,128,135,1,SUP
,708,"W8’s track (segment from TSN DVOR/DME to 
MISAN)",294,250,241,231,3,SUP
